name,studentId,major,email,nationality,homeLand,score,gender
Léa Bello,S928219,SpecialEducation,query.nexorium@zoho.com,Greece,0,67,0
Lan Keita,S301052,Accounting,help_terra@icloud.com,Dominica,0,36,0
Rong Xu,S328713,EthicalAI&Policy,tech_astral@icloud.com,Cuba,1,87,0
Chidi Singh,S231846,Economics,tech_eclipse@icloud.com,Comoros,1,38,1
Ming VanDijk,S952503,PoliticalScience,contact_eclipse@yandex.com,Dominica,0,50,1
Kavita Russo,S577705,Philosophy,media_astralink@icloud.com,Benin,0,54,1
Sunita Wagner,S752398,VeterinaryScience,admin_zenith@hotmail.com,Ethiopia,0,22,0
Hua Kim,S142613,SocialWork,tech_aurora@icloud.com,Denmark,1,59,1
Sage Hussein,S649609,PoliticalScience,support_quantumcore@icloud.com,Indonesia,2,50,0
Piotr Davis,S491038,Hospitality&TourismManagement,media_echelon@protonmail.com,Ecuador,2,43,0
Aditya Khan,S357662,CognitiveScience,service_phoenix@aol.com,Gabon,1,91,1
Rong Yamamoto,S239734,VeterinaryScience,eclipse.designs@protonmail.com,Finland,2,22,0
Koa Georgiou,S170434,Theater&Drama,contact_pulsewave@yandex.com,Cuba,1,78,0
Andriy Demir,S249255,Nanotechnology,hello_zenith@live.com,Cuba,1,15,1
Laila Keita,S400931,SpecialEducation,hello_flux@live.com,Canada,1,67,0
Anastasia Taylor,S240993,GenderStudies,sales_nimbus@yahoo.com,Eswatini,2,59,0
Sarah García,S175268,Kinesiology,sunrise_engineering@yandex.com,Estonia,1,24,0
Budi Dubois,S147700,PublicHealth,sales_titan@yahoo.com,DominicanRepublic,1,20,0
Andriy Smirnov,S419917,Marketing,sales_aurora@yahoo.com,Congo(Republic),0,37,0
Sam Georgiou,S153268,PoliticalScience,hello_zenith@live.com,Burundi,0,50,0
Nalani Pérez,S986780,InternationalRelations,hello_nexa@live.com,Eritrea,0,55,1
Vikram Mahmoud,S350826,Physiotherapy,service_zephyr@msn.com,Gabon,1,30,0
Andrew Kumar,S244045,FashionDesign,support_nexorium@aol.com,Guyana,2,73,0
Carlos Kobayashi,S17621,FineArts,media_echelon@protonmail.com,Honduras,1,71,0
Khalid Park,S200669,HumanResourcesManagement,info_eclipse@zoho.com,Botswana,1,44,0
Quinn Ramírez,S681271,Entrepreneurship,help_nebulaforge@outlook.com,ElSalvador,1,40,0
Alistair Tran,S118227,OccupationalTherapy,service_ironclad@msn.com,Cameroon,0,31,1
Sora Ramírez,S282925,Animation&DigitalArts,query_aurora@yandex.com,Haiti,0,79,0
Mio Matsumoto,S219480,BusinessAdministration,hello_flux@live.com,CostaRica,1,34,1
Malik DeJong,S292552,GameDesign,hello_infinitum@me.com,Egypt,0,81,0
Nikos Toure,S506636,FineArts,media_crimson@protonmail.com,France,0,71,0
Jan Young,S392491,Architecture,sales_nimbus@yahoo.com,Ecuador,2,69,0
Carys Demir,S695395,GraphicDesign,admin_vexelon@hotmail.com,CostaRica,1,67,1
Ling Li,S935366,Theater&Drama,info_eclipse@zoho.com,Chad,0,78,1
Avery Matsumoto,S131335,SportsManagement,media_nexa@protonmail.com,Czechia,0,96,0
Daiki Diallo,S749174,Medicine(Pre-Med),service_quantum@msn.com,Grenada,1,16,1
Kwame Zhao,S202627,FineArts,media_eclipse@protonmail.com,Ghana,2,71,0
Alistair Tanaka,S598938,RealEstateManagement,feedback_zenith@me.com,Germany,1,47,0
Jing Mensah,S66303,SpecialEducation,feedback_terra@msn.com,Brunei,0,67,1
Ivan Toure,S436253,BusinessAdministration,j.smith_45@yahoo.com,Congo(DemocraticRepublic),2,34,0
Xiu Bakker,S949116,SupplyChainManagement,info_nexasphere@protonmail.com,Cyprus,2,41,0
Eero Ibrahim,S835749,RealEstateManagement,media_flux@protonmail.com,Cameroon,0,46,0
Khalid Wang,S962995,HumanResourcesManagement,contact_quantum@yandex.com,Botswana,1,45,1
Maria Nikolaidis,S426542,FineArts,help_orion@outlook.com,Cyprus,2,70,0
Arjun Kim,S166305,Criminology,zephyron.help@icloud.com,Brunei,0,57,1
Minh Thomas,S797596,CybersecurityPolicy,contact_stellar@yandex.com,Dominica,0,97,0
Siobhan Nkrumah,S390491,SocialWork,tech_astral@icloud.com,Greece,0,58,1
Oksana González,S295998,InteriorDesign,media_pyrexia@protonmail.com,Côted'Ivoire,2,75,1
Vikram Choudhury,S712150,Kinesiology,feedback_catalyst@msn.com,Djibouti,2,25,1
Tariq Wilson,S375476,ActuarialScience,tech_nexus@icloud.com,Bulgaria,1,45,0
Andrei Jain,S162378,SpecialEducation,help_terra@icloud.com,CentralAfricanRepublic,2,66,1
Takumi Martin,S882072,BusinessAdministration,help_orion@outlook.com,DominicanRepublic,1,34,0
Morgan Wilson,S809633,InternationalRelations,admin_zenith@hotmail.com,Comoros,1,56,1
Miriam Nakamura,S714197,PoliticalScience,help_zenith@outlook.com,CaboVerde,1,50,1
Aaron Keita,S91880,Theater&Drama,help_quantum@outlook.com,Germany,1,77,0
Myra Choi,S42443,GraphicDesign,hello.vortexgrid@me.com,Estonia,1,68,1
Abigail Huang,S607713,Criminology,t.zhang_services@me.com,Estonia,1,57,0
Emre Schneider,S650568,Accounting,inquiry_elysium@zoho.com,Czechia,0,36,0
Elliot Kato,S527674,Hospitality&TourismManagement,media_eclipse@protonmail.com,CostaRica,1,43,1
Min-jun Larsen,S525181,Neuroscience,support_solstice@me.com,Egypt,0,10,0
Arjun Nakamura,S653641,EthicalAI&Policy,info_cobalt@zoho.com,Eswatini,2,86,1
Isaac Khalid,S273255,Law(Pre-Law),support_solstice@me.com,Canada,1,64,0
Miriam Gutierrez,S3403,GenderStudies,contact_nexa@yandex.com,EquatorialGuinea,2,59,1
Yue Ivanov,S523061,Geography,info_flux@zoho.com,EquatorialGuinea,2,61,1
Misha Al-Mohammed,S158640,CreativeWriting,help_nebulaforge@outlook.com,Comoros,1,79,0
Reza Ibrahim,S462381,Sociology,help_orion@outlook.com,Haiti,0,49,0
Anika Nkrumah,S745070,Physics,support_quantum@aol.com,Georgia,0,6,0
Nadia Rodríguez,S389062,Sociology,query_aurora@yandex.com,Ghana,2,49,0
Taylor Nguyen,S5887,InternationalRelations,tech_pinnacle@yahoo.com,Guinea,0,56,1
Fatima Russo,S925130,VeterinaryScience,tech_cerulean@icloud.com,Burundi,0,23,1
Finley Dubois,S905010,VeterinaryScience,support_stellar@aol.com,DominicanRepublic,1,23,0
Kwame Katz,S347740,Biotechnology,help_nebulaforge@outlook.com,Chile,1,32,1
Katarzyna Watanabe,S981972,Linguistics,admin_stellar@hotmail.com,Grenada,1,55,0
Zion Anderson,S911690,Meteorology,helpdesk_echelon@yahoo.com,Fiji,1,13,1
Elliot Bakker,S293047,GraphicDesign,info_summitaegis@aol.com,ElSalvador,1,68,1
Aino Ivanov,S50001,Geography,bluehorizon_01@live.com,Bolivia,2,62,1
Idris Kimura,S908032,Education(Primary/Secondary),help_eclipse@outlook.com,Brazil,2,65,0
Priya Pérez,S249975,PublicHealth,info_aurora@zoho.com,Eswatini,2,20,0
Katarzyna Moreau,S63477,MusicPerformance/Theory,feedback_eclipse@me.com,Djibouti,2,77,1
Eero Sow,S358250,MusicPerformance/Theory,contact_quantum@yandex.com,Denmark,1,76,0
Skyler Li,S474125,Physiotherapy,hello.vortexgrid@me.com,Chile,1,29,0
Aoi Volkov,S252563,Animation&DigitalArts,admin_aurora@hotmail.com,DominicanRepublic,1,79,1
Dakota Yilmaz,S819241,SocialWork,support_zenith@aol.com,Cuba,1,58,0
Sean Flores,S42292,PoliticalScience,admin_zenith@hotmail.com,Czechia,0,50,1
Abigail Vasiliou,S704063,Archaeology,info_eclipse@zoho.com,Czechia,0,61,1
Rong Bianchi,S820642,CybersecurityPolicy,hello_quantum@live.com,Czechia,0,97,1
Rasha Toure,S999972,ClimateScience,support_nexorium@aol.com,Djibouti,2,85,1
Priya Petrov,S889224,RenewableEnergyEngineering,support_voltex@aol.com,Croatia,0,86,0
Casey Visser,S839859,EthicalAI&Policy,info_eclipse@zoho.com,Eritrea,0,86,0
Nao Al-Farsi,S944433,Marketing,feedback_ironwave@msn.com,Bhutan,1,37,0
Ingrid Sun,S931684,Accounting,feedback_obsidian@me.com,CaboVerde,1,35,0
Dmitri Smith,S766869,InternationalRelations,service_nexa@msn.com,Cameroon,0,56,0
James Inoue,S994356,Entrepreneurship,hello_zenith@live.com,Czechia,0,39,0
Anika Bianchi,S644006,InternationalRelations,service_phoenix@aol.com,BurkinaFaso,2,55,1
Neha Reyes,S197615,Theater&Drama,moonlightstudio@protonmail.com,CaboVerde,1,77,0
Ibrahim Davis,S314033,Anthropology,support_aurora@aol.com,Ghana,2,51,1
Andriy Visser,S232495,PublicHealth,feedback_terra@msn.com,Ethiopia,0,20,0
Hui Levy,S942047,PoliticalScience,j.smith_45@yahoo.com,Dominica,0,49,0
Andriy Zhao,S808972,Law(Pre-Law),help_nexus@outlook.com,Bolivia,2,65,0
Isaac Sow,S49632,ActuarialScience,support_nexa@aol.com,Cambodia,2,45,0
Hassan Williams,S620725,InteriorDesign,hello_nexa@live.com,China,2,75,1
Tariq Patel,S709514,GenderStudies,support_quantum@aol.com,Burundi,0,60,0
Phoenix Smirnov,S548671,FashionDesign,info_polarisedge@hotmail.com,Czechia,0,73,0
Rohan Chen,S928755,InternationalBusiness,info_flux@zoho.com,Cyprus,2,40,0
Jing Schmidt,S151259,Anthropology,auroraforge.help@gmail.com,Czechia,0,52,1
Minh Thomas,S522487,Education(Primary/Secondary),auroraforge.help@gmail.com,EquatorialGuinea,2,65,1
Nabil Anderson,S847928,Archaeology,contact_stellar@yandex.com,Czechia,0,61,1
Lina Ibrahim,S988194,Archaeology,query.nexorium@zoho.com,Brazil,2,60,1
Shota Nielsen,S777989,Animation&DigitalArts,info_nexasphere@protonmail.com,Fiji,1,80,1
Andriy Kuznetsov,S186666,InternationalBusiness,silverhawk_sales@aol.com,Czechia,0,41,1
Nonglak Rao,S921341,FineArts,help_stellar@outlook.com,Guyana,2,70,1
Amara Lee,S523179,GraphicDesign,sales_aurora@yahoo.com,Botswana,1,67,0
Amara Lee,S921123,Epidemiology,info_nexasphere@protonmail.com,Chile,1,29,0
Erik Nielsen,S308427,GameDesign,tech_astral@icloud.com,China,2,81,1
Layla Walker,S843561,Philosophy,help_quantum@outlook.com,CaboVerde,1,53,1
Jordan Jones,S413499,SocialWork,inquiry_elysium@zoho.com,Denmark,1,58,1
Haruto Pham,S600325,PublicHealth,tech_eclipse@icloud.com,Fiji,1,21,0
Maria Arslan,S719562,IndustrialDesign,alex_rivera99@hotmail.com,Egypt,0,74,1
Feng Rossi,S127466,History,tech_nexus@icloud.com,Grenada,1,53,1
Abigail Xu,S811584,InternationalBusiness,help_stellar@outlook.com,China,2,41,1
Giulia Jansen,S664208,UX/UIDesign,hello_flux@live.com,Croatia,0,90,0
Mary Diop,S954569,Criminology,feedback_aurora@me.com,Bulgaria,1,58,0
Quinn Zayed,S532945,PublicHealth,helpdesk_echelon@yahoo.com,Ecuador,2,20,0
Karan Ramírez,S945136,Film&MediaStudies,info_aurora@zoho.com,Fiji,1,71,0
Jan Matsumoto,S636378,MusicPerformance/Theory,info_silverhawk@zoho.com,Cuba,1,76,1
Alex Çelik,S408098,Architecture,help_quantum@outlook.com,Chad,0,69,1
Andriy Al-Mohammed,S915251,Film&MediaStudies,service_luminary@zoho.com,Canada,1,71,1
Samir Dang,S685914,Anthropology,contact_apexion@outlook.com,Comoros,1,52,1
Ava Hassan,S58605,Physiotherapy,media_echelon@protonmail.com,Croatia,0,29,1
Sophia Dubois,S647514,DigitalMarketing,admin_zenith@hotmail.com,Finland,2,89,0
Ibrahim Bernard,S543908,Accounting,sales_titan@yahoo.com,Cambodia,2,36,0
Haruto Sow,S623304,Geography,service_luminary@zoho.com,Germany,1,62,0
William Yamada,S18803,InternationalRelations,tech_stellar@icloud.com,Chile,1,56,0
Emre Sánchez,S736698,PoliticalScience,j.smith_45@yahoo.com,CaboVerde,1,49,0
Riley Larsen,S942172,Anthropology,service_luminary@zoho.com,BurkinaFaso,2,51,0
Casey López,S351132,MusicPerformance/Theory,stellarsky2024@msn.com,Guinea,0,76,1
Jordan Taylor,S348411,Architecture,media_crimson@protonmail.com,Comoros,1,69,0
Kavita Volkov,S632979,Nutrition&Dietetics,hello_infinitum@me.com,Ecuador,2,24,0
Kai Jung,S911892,Education(Primary/Secondary),feedback_terra@me.com,Guinea-Bissau,1,65,1
Nikolai Abbas,S277677,GameDesign,ironclad_labs@aol.com,Guinea-Bissau,1,81,1
Maximilian Georgiou,S55925,Finance,service_phoenix@aol.com,CostaRica,1,34,1
Andriy Sow,S747574,Economics,hello_nexa@live.com,ElSalvador,1,38,1
Riley Dang,S314267,Criminology,sunrise_engineering@yandex.com,CostaRica,1,57,0
Piotr Toure,S591019,Film&MediaStudies,admin_cobaltreach@zoho.com,Indonesia,2,71,0
Malik Suzuki,S560681,SocialWork,media_pyrexia@protonmail.com,Guinea,0,59,1
Rhys Gupta,S348727,Epidemiology,admin_nexa@hotmail.com,Czechia,0,28,0
Mia Kuznetsov,S793166,Animation&DigitalArts,silverhawk_sales@aol.com,Iceland,0,80,0
Skyler Goldberg,S21284,Pharmacy,moonlightstudio@protonmail.com,Estonia,1,19,0
Mia Sato,S351183,SupplyChainManagement,contact_iron@yandex.com,Canada,1,42,1
Samir Toure,S688284,Psychology,hello_zenith@live.com,Haiti,0,48,0
Zahara Sow,S7707,Medicine(Pre-Med),support_nexa@aol.com,Guyana,2,16,0
Matthew Visser,S383732,Psychology,contact_zenithpulse@live.com,Chad,0,47,0
Koa Reyes,S744196,History,info_nexasphere@protonmail.com,Germany,1,52,0
Alistair Ramos,S219345,SpecialEducation,support_aurora@aol.com,Iraq,1,67,1
Mei Kim,S975970,ClimateScience,service_luminary@zoho.com,Gambia,2,85,0
Chidi Kimura,S504137,Kinesiology,media_echelon@protonmail.com,Eswatini,2,25,0
Tao Malhotra,S314695,Criminology,help_nebulaforge@outlook.com,Brunei,0,57,0
Yue Yilmaz,S720150,Psychology,media_astralink@icloud.com,Denmark,1,48,1
Mei Sun,S862020,Animation&DigitalArts,service_ironclad@msn.com,Colombia,0,80,1
Tereza Dimitriou,S643054,Kinesiology,admin_fluxion@hotmail.com,Bolivia,2,25,0
Phoenix Sharma,S511167,PoliticalScience,help_zenith@outlook.com,Dominica,0,49,0
Misha Yamada,S105941,Linguistics,info_crimson@zoho.com,Guyana,2,55,0
Jing Dubois,S321452,Sociology,support_frostvale@live.com,Chile,1,48,0
Diya Khan,S480341,Nutrition&Dietetics,feedback_terra@me.com,Egypt,0,24,1
Daniel Ma,S700408,Marketing,info_summitaegis@aol.com,Canada,1,36,1
Hua Pérez,S319552,ActuarialScience,support_quantumcore@icloud.com,Chad,0,45,1
Shota VanDijk,S685110,Philosophy,admin_vexelon@hotmail.com,Colombia,0,53,0
Sanjay Zhou,S413299,Genetics,info_stellar@zoho.com,Comoros,1,27,0
Parisa Le,S435811,IndustrialDesign,media_echelon@protonmail.com,Germany,1,74,1
Priya Clark,S406890,Geography,info_stellar@zoho.com,ElSalvador,1,61,1
Reza Al-Mohammed,S356566,Film&MediaStudies,hello_embercore@live.com,Egypt,0,72,1
Zahara Wagner,S93585,PoliticalScience,sales_eclipse@yahoo.com,Brazil,2,49,0
Tamar Kimura,S624646,History,tech_cerulean@icloud.com,Guyana,2,52,1
Louis DelaCruz,S571074,Entrepreneurship,zephyron.help@icloud.com,Croatia,0,39,0
Eero Larsen,S604963,Psychology,hello_zenith@live.com,Iceland,0,47,0
Ling Keita,S930967,Nutrition&Dietetics,contact_iron@yandex.com,ElSalvador,1,24,1
Sofia Sethi,S358245,HumanResourcesManagement,support_solstice@me.com,EquatorialGuinea,2,44,1
Anika Bianchi,S767578,IndustrialDesign,helpdesk_echelon@yahoo.com,Congo(Republic),0,74,1
Zion Reddy,S862859,PoliticalScience,contact_stellar@yandex.com,China,2,50,1
Anastasia Hall,S927378,Epidemiology,sales_nimbus@yahoo.com,DominicanRepublic,1,28,0
Aylin Wang,S400345,MusicPerformance/Theory,hello_vireoworks@live.com,Georgia,0,76,1
Hana Zhou,S497081,Nursing,media_crimson@protonmail.com,Chile,1,17,1
Sean Georgiou,S44325,EthicalAI&Policy,contact_eclipse@yandex.com,CostaRica,1,87,0
Sean Le,S434771,Anthropology,support_nexa@aol.com,France,0,51,0
Rasha Schneider,S738477,ClimateScience,info_zenith@zoho.com,Côted'Ivoire,2,85,0
Mary Zhou,S972553,SupplyChainManagement,feedback_catalyst@msn.com,Congo(Republic),0,42,0
Sean Al-Mohammed,S895141,Criminology,hello_nexa@live.com,Cambodia,2,58,1
Kavita Dimitriou,S499913,History,contact_zenithpulse@live.com,Burundi,0,52,0
John Kumar,S35257,Marketing,admin_fluxion@hotmail.com,DominicanRepublic,1,36,0
Ali Takahashi,S551025,InternationalRelations,sales_nimbus@yahoo.com,Djibouti,2,55,0
Aaron Müller,S499375,EthicalAI&Policy,media_crimson@protonmail.com,Congo(Republic),0,87,1
Alex Al-Masri,S295975,GameDesign,support_nexa@aol.com,Honduras,1,81,0
Anastasia Wong,S859522,Archaeology,help_eclipse@outlook.com,Chad,0,61,0
Myra Mehra,S237716,OccupationalTherapy,help_eclipse@outlook.com,Chad,0,30,0
Maximilian Singh,S568982,Education(Primary/Secondary),help_eclipse@outlook.com,Eritrea,0,65,0
Ethan Takahashi,S190710,SpecialEducation,help_zenith@outlook.com,Estonia,1,67,1
Sofia Müller,S948197,Archaeology,support_solstice@me.com,Congo(DemocraticRepublic),2,60,1
Rohan Hall,S241547,Genetics,feedback_terra@msn.com,DominicanRepublic,1,28,0
Mei Brown,S268663,MusicPerformance/Theory,support_quantumcore@icloud.com,Eswatini,2,76,0
Somchai Suzuki,S915270,CognitiveScience,luna.waves23@gmx.com,EquatorialGuinea,2,91,1
Hiroshi Reddy,S834401,Hospitality&TourismManagement,zephyron.help@icloud.com,Germany,1,43,0
Rohan Sharma,S300307,ActuarialScience,tech_nexus@icloud.com,Congo(DemocraticRepublic),2,45,0
Aoi Williams,S384747,GameDesign,media_crimson@protonmail.com,Eritrea,0,81,1
Omar Kimura,S695491,CreativeWriting,techquery2023@gmail.com,Georgia,0,79,0
Eleni Ma,S133611,FineArts,sales_quantum@yahoo.com,Georgia,0,70,0
Fatima García,S919611,Marketing,contact_nexa@yandex.com,BurkinaFaso,2,37,0
Vikram Choudhury,S463934,FineArts,feedback_terra@msn.com,Cyprus,2,70,1
Koa Ito,S146278,GraphicDesign,n.lee_consulting@yandex.com,Ghana,2,68,1
Eszter Al-Farsi,S126693,CreativeWriting,service_ironclad@msn.com,Canada,1,78,0
Nia Pérez,S296421,MusicPerformance/Theory,tech_stellar@icloud.com,Guinea,0,76,1
Rohan Sasaki,S804712,ActuarialScience,info_stellar@zoho.com,Djibouti,2,46,0
Li Ortiz,S310895,Theater&Drama,tech_pinnacle@yahoo.com,Croatia,0,77,0
Ryota Ortiz,S748682,FashionDesign,hello_zenith@live.com,Cyprus,2,73,0
Farid Lewis,S955226,SocialWork,query.nexorium@zoho.com,Greece,0,58,0
Yara Miller,S768599,GameDesign,webquery_obsidian@hotmail.com,Ecuador,2,81,0
Karan Tran,S885293,CognitiveScience,info_crimson@zoho.com,Eswatini,2,91,0
Sanjay Smith,S441311,Archaeology,bluehorizon_01@live.com,Cyprus,2,60,0
Hua Sharma,S830330,Kinesiology,service_nexa@msn.com,Congo(DemocraticRepublic),2,25,1
Léa Agarwal,S941682,Sociology,support_nexorium@aol.com,Canada,1,49,1
Aino Abebe,S157836,Anthropology,sales_lumivault@yahoo.com,Canada,1,51,0
Kai Yilmaz,S519139,Animation&DigitalArts,sales_titan@yahoo.com,Germany,1,79,1
Lina Choudhury,S799147,Nursing,hello_zenith@live.com,Djibouti,2,17,0
Jan Nielsen,S593668,Pharmacy,sales_lumivault@yahoo.com,Cyprus,2,19,0
Tariq Levy,S842932,UrbanPlanning,tech_cerulean@icloud.com,Eswatini,2,63,0
Mia Rossi,S666302,Philosophy,contact_quantum@yandex.com,Belgium,1,53,0
Shota Taylor,S159699,OccupationalTherapy,eclipse.designs@protonmail.com,Cyprus,2,31,0
Ryota Goldberg,S523352,IndustrialDesign,info_nexasphere@protonmail.com,BurkinaFaso,2,74,0
Ping Vasiliou,S573898,GraphicDesign,help_nexus@outlook.com,CentralAfricanRepublic,2,67,1
Ethan Nkrumah,S916578,IndustrialDesign,support_quantum@aol.com,Georgia,0,73,0
Nabil Taylor,S83951,Law(Pre-Law),admin_aurora@hotmail.com,Greece,0,64,0
Koa Wong,S100896,CreativeWriting,feedback_quantum@me.com,Estonia,1,78,1
Koa Schneider,S712376,PoliticalScience,info_stellar@zoho.com,Gabon,1,50,1
Arjun Sharma,S79292,EnvironmentalScience&Sustainability,help_quantum@outlook.com,DominicanRepublic,1,83,0
Elliot Sow,S784638,Architecture,tech_stellar@icloud.com,Brunei,0,69,0
Giulia Brown,S384028,GlobalHealth,sunrise_engineering@yandex.com,Finland,2,88,1
Carys Davis,S894432,FashionDesign,service_stellar@msn.com,Greece,0,73,0
Yusuf Zhao,S176026,MusicPerformance/Theory,ironclad_labs@aol.com,DominicanRepublic,1,76,0
Sean Matsumoto,S579672,EnvironmentalScience&Sustainability,info_stellar@zoho.com,EquatorialGuinea,2,84,1
Maria Visser,S194756,Education(Primary/Secondary),sales_lumivault@yahoo.com,Ecuador,2,66,0
Kwame Visser,S138197,GraphicDesign,j.smith_45@yahoo.com,Congo(DemocraticRepublic),2,67,0
Michael Moreau,S476176,MarineBiology,tech_cerulean@icloud.com,CostaRica,1,96,0
Alistair Petrov,S61717,PoliticalScience,info_zenith@zoho.com,Gambia,2,49,1
Riley Papadopoulos,S554597,EnvironmentalScience&Sustainability,info_summitaegis@aol.com,Djibouti,2,84,0
Rhys Yamamoto,S639307,Epidemiology,sales_nimbus@yahoo.com,Djibouti,2,29,0
Budi Al-Mohammed,S314183,UrbanPlanning,tech_nexa@icloud.com,Ghana,2,64,0
Shota Çelik,S159931,VeterinaryScience,support_voltex@aol.com,Egypt,0,22,1
Nikolai Davis,S978196,InternationalBusiness,vividra.contact@outlook.com,Colombia,0,40,0
Ibrahim Schneider,S324787,Pharmacy,sales_eclipse@yahoo.com,Chad,0,18,0
Hana Demir,S936770,Kinesiology,contact_pulsewave@yandex.com,Egypt,0,25,0
Zahara Al-Khalifa,S802952,Nutrition&Dietetics,support_aurora@aol.com,Ethiopia,0,23,0
Leilani Miller,S298826,Geography,tech_stellar@icloud.com,Congo(Republic),0,62,0
Ravi Yang,S257185,Biochemistry,j.smith_45@yahoo.com,DominicanRepublic,1,27,1
Koa Çelik,S327558,Accounting,support_aurora@aol.com,Cyprus,2,36,1
Eleni Nakamura,S266118,FashionDesign,n.lee_consulting@yandex.com,Cuba,1,73,1
Ravi Nakamura,S627366,Architecture,tech_cerulean@icloud.com,Comoros,1,69,0
Alex Yamada,S791967,Criminology,media_eclipse@protonmail.com,Benin,0,57,1
Emma Mehra,S486611,Linguistics,service_nexa@msn.com,Finland,2,54,0
Lan Nguyen,S212649,History,inquiry_elysium@zoho.com,Colombia,0,52,0
Giulia Thomas,S833818,Criminology,hello_flux@live.com,Congo(DemocraticRepublic),2,57,0
Nabil Katz,S435104,Geography,webquery_obsidian@hotmail.com,Finland,2,61,0
Aditya Nikolaidis,S867753,Statistics,feedback_terra@msn.com,Ethiopia,0,14,0
Yasin Wagner,S778229,CreativeWriting,help_eclipse@outlook.com,Grenada,1,78,1
Zara Sato,S451775,Nutrition&Dietetics,tech_aurora@icloud.com,China,2,23,1
Daniel Diallo,S175992,Psychology,j.smith_45@yahoo.com,CentralAfricanRepublic,2,48,0
Sage Çelik,S272601,Linguistics,admin_pulse@hotmail.com,Congo(DemocraticRepublic),2,54,0
Sanjay Matsumoto,S994715,Criminology,inquiry_elysium@zoho.com,Chad,0,57,1
Emily Mahmoud,S819137,FineArts,contact_iron@yandex.com,EquatorialGuinea,2,71,1
